CMDLINE C:\Users\moonj\AppData\Local\Programs\Python\Python311\python.exe Diffusion_equation_memory_profiler.py
MEM 1.656250 1674723260.3959
MEM 19.167969 1674723260.4969
MEM 28.871094 1674723260.5979
MEM 36.796875 1674723260.6986
MEM 44.683594 1674723260.7990
MEM 57.437500 1674723260.9000
MEM 65.503906 1674723261.0010
MEM 74.347656 1674723261.1017
MEM 70.328125 1674723261.2028
MEM 67.707031 1674723261.3038
MEM 73.957031 1674723261.4041
MEM 70.460938 1674723261.5046
MEM 76.648438 1674723261.6057
MEM 72.335938 1674723261.7064
MEM 71.726562 1674723261.8074
MEM 75.726562 1674723261.9077
MEM 72.484375 1674723262.0087
MEM 72.613281 1674723262.1097
MEM 74.050781 1674723262.2107
MEM 73.363281 1674723262.3115
MEM 77.363281 1674723262.4121
MEM 74.496094 1674723262.5126
MEM 73.632812 1674723262.6136
MEM 76.007812 1674723262.7142
MEM 75.511719 1674723262.8147
MEM 74.632812 1674723262.9152
MEM 75.507812 1674723263.0157
MEM 75.644531 1674723263.1166
MEM 77.644531 1674723263.2172
MEM 76.773438 1674723263.3182
MEM 76.894531 1674723263.4190
MEM 77.769531 1674723263.5198
MEM 76.917969 1674723263.6208
MEM 78.152344 1674723263.7216
MEM 79.027344 1674723263.8222
MEM 79.277344 1674723263.9228
MEM 79.296875 1674723264.0238
MEM 79.296875 1674723264.1246
MEM 79.296875 1674723264.2256
MEM 79.296875 1674723264.3261
MEM 79.296875 1674723264.4268
MEM 79.296875 1674723264.5273
MEM 79.296875 1674723264.6278
MEM 79.296875 1674723264.7283
MEM 79.296875 1674723264.8291
MEM 79.527344 1674723264.9301
MEM 79.550781 1674723265.0308
MEM 79.550781 1674723265.1313
MEM 79.773438 1674723265.2324
MEM 79.796875 1674723265.3334
MEM 79.796875 1674723265.4345
FUNC __main__.evolve 49.4531 1674723260.8440 65.1250 1674723260.9930 1
FUNC __main__.evolve 62.0859 1674723260.9950 77.5977 1674723261.1407 1
FUNC __main__.evolve 65.5508 1674723261.1437 77.5781 1674723261.2918 1
FUNC __main__.evolve 65.5820 1674723261.2948 77.5820 1674723261.4576 1
FUNC __main__.evolve 67.5781 1674723261.4606 77.5859 1674723261.6174 1
FUNC __main__.evolve 67.5781 1674723261.6204 77.5859 1674723261.7715 1
FUNC __main__.evolve 69.5430 1674723261.7744 77.6016 1674723261.9317 1
FUNC __main__.evolve 69.8672 1674723261.9347 77.6094 1674723262.0957 1
FUNC __main__.evolve 70.6055 1674723262.0977 77.6133 1674723262.2557 1
FUNC __main__.evolve 70.8633 1674723262.2587 77.6133 1674723262.4157 1
FUNC __main__.evolve 72.6211 1674723262.4176 77.6211 1674723262.5747 1
FUNC __main__.evolve 72.6289 1674723262.5766 77.6328 1674723262.7342 1
FUNC __main__.evolve 73.6289 1674723262.7362 77.6367 1674723262.8917 1
FUNC __main__.evolve 73.6289 1674723262.8937 77.6328 1674723263.0517 1
FUNC __main__.evolve 74.6406 1674723263.0537 77.6445 1674723263.2162 1
FUNC __main__.evolve 75.6445 1674723263.2192 77.8984 1674723263.3770 1
FUNC __main__.evolve 75.8945 1674723263.3790 77.8945 1674723263.5388 1
FUNC __main__.evolve 76.8945 1674723263.5408 77.9180 1674723263.6996 1
FUNC __main__.evolve 77.9180 1674723263.7016 79.0273 1674723263.8568 1
FUNC __main__.evolve 79.0273 1674723263.8588 79.2773 1674723264.0148 1
FUNC __main__.evolve 79.2773 1674723264.0168 79.2969 1674723264.1786 1
FUNC __main__.evolve 79.2969 1674723264.1806 79.2969 1674723264.3388 1
FUNC __main__.evolve 79.2969 1674723264.3408 79.2969 1674723264.4998 1
FUNC __main__.evolve 79.2969 1674723264.5018 79.2969 1674723264.6668 1
FUNC __main__.evolve 79.2969 1674723264.6688 79.2969 1674723264.8301 1
FUNC __main__.evolve 79.2969 1674723264.8321 79.5273 1674723264.9901 1
FUNC __main__.evolve 79.5273 1674723264.9921 79.5508 1674723265.1488 1
FUNC __main__.evolve 79.5508 1674723265.1508 79.7734 1674723265.3104 1
FUNC __main__.evolve 79.7734 1674723265.3134 79.7969 1674723265.4685 1
FUNC __main__.evolve 79.7969 1674723265.4705 79.7969 1674723265.6256 1
FUNC __main__.evolve 79.7969 1674723265.6276 79.7969 1674723265.7936 1
FUNC __main__.evolve 79.7969 1674723265.7956 79.8008 1674723265.9533 1
FUNC __main__.evolve 79.8008 1674723265.9553 79.8008 1674723266.1118 1
FUNC __main__.evolve 79.8008 1674723266.1138 79.8008 1674723266.2694 1
FUNC __main__.evolve 79.8008 1674723266.2714 79.8008 1674723266.4287 1
FUNC __main__.evolve 79.8008 1674723266.4307 79.8008 1674723266.5874 1
FUNC __main__.evolve 79.8008 1674723266.5894 79.8008 1674723266.7475 1
FUNC __main__.evolve 79.8008 1674723266.7495 79.8008 1674723266.9051 1
FUNC __main__.evolve 79.8008 1674723266.9081 79.8008 1674723267.0646 1
FUNC __main__.evolve 79.8008 1674723267.0676 79.8008 1674723267.2247 1
FUNC __main__.evolve 79.8008 1674723267.2267 79.8008 1674723267.3821 1
FUNC __main__.evolve 79.8008 1674723267.3841 79.8008 1674723267.5377 1
FUNC __main__.evolve 79.8008 1674723267.5397 79.8008 1674723267.6982 1
FUNC __main__.evolve 79.8008 1674723267.7002 79.8008 1674723267.8554 1
FUNC __main__.evolve 79.8008 1674723267.8574 79.8008 1674723268.0109 1
FUNC __main__.evolve 79.8008 1674723268.0139 79.8008 1674723268.1670 1
FUNC __main__.evolve 79.8008 1674723268.1690 79.8008 1674723268.3245 1
FUNC __main__.evolve 79.8008 1674723268.3275 79.8008 1674723268.4837 1
FUNC __main__.evolve 79.8008 1674723268.4857 79.8008 1674723268.6402 1
FUNC __main__.evolve 79.8008 1674723268.6422 79.8008 1674723268.7987 1
FUNC __main__.run_experiment 46.1094 1674723260.8420 73.2812 1674723268.8047 0
MEM 79.796875 1674723265.5356
MEM 79.796875 1674723265.6379
MEM 79.796875 1674723265.7386
MEM 79.800781 1674723265.8396
MEM 79.800781 1674723265.9402
MEM 79.800781 1674723266.0408
MEM 79.800781 1674723266.1413
MEM 79.800781 1674723266.2423
MEM 79.800781 1674723266.3429
MEM 79.800781 1674723266.4437
MEM 79.800781 1674723266.5443
MEM 79.800781 1674723266.6449
MEM 79.800781 1674723266.7455
MEM 79.800781 1674723266.8461
MEM 79.800781 1674723266.9467
MEM 79.800781 1674723267.0476
MEM 79.800781 1674723267.1481
MEM 79.800781 1674723267.2487
MEM 79.800781 1674723267.3497
MEM 79.800781 1674723267.4500
MEM 79.800781 1674723267.5507
MEM 79.800781 1674723267.6512
MEM 79.800781 1674723267.7519
MEM 79.800781 1674723267.8524
MEM 79.800781 1674723267.9529
MEM 79.800781 1674723268.0534
MEM 79.800781 1674723268.1540
MEM 79.800781 1674723268.2545
MEM 79.800781 1674723268.3551
MEM 79.800781 1674723268.4557
