CMDLINE C:\Users\moonj\AppData\Local\Programs\Python\Python311\python.exe JuliaSet_memory_profiler.py
MEM 1.644531 1674458651.9115
MEM 19.085938 1674458652.0125
MEM 28.761719 1674458652.1135
MEM 36.496094 1674458652.2142
MEM 43.937500 1674458652.3145
MEM 61.371094 1674458652.4155
MEM 91.343750 1674458652.5162
MEM 120.738281 1674458652.6168
MEM 130.570312 1674458652.7178
MEM 130.632812 1674458652.8181
MEM 130.656250 1674458652.9190
MEM 130.757812 1674458653.0196
MEM 130.820312 1674458653.1202
MEM 130.820312 1674458653.2210
MEM 130.882812 1674458653.3220
MEM 130.945312 1674458653.4230
MEM 131.007812 1674458653.5240
MEM 131.070312 1674458653.6250
MEM 131.132812 1674458653.7260
MEM 131.195312 1674458653.8271
MEM 131.195312 1674458653.9281
MEM 131.257812 1674458654.0291
MEM 131.308594 1674458654.1302
MEM 131.382812 1674458654.2312
MEM 131.445312 1674458654.3322
MEM 131.507812 1674458654.4329
MEM 131.570312 1674458654.5334
MEM 131.632812 1674458654.6340
MEM 131.632812 1674458654.7350
MEM 131.695312 1674458654.8360
MEM 131.757812 1674458654.9370
MEM 131.820312 1674458655.0380
MEM 131.882812 1674458655.1390
MEM 131.945312 1674458655.2400
MEM 132.007812 1674458655.3410
MEM 132.070312 1674458655.4420
MEM 132.132812 1674458655.5425
MEM 132.195312 1674458655.6430
MEM 132.195312 1674458655.7440
MEM 132.257812 1674458655.8446
MEM 132.300781 1674458655.9451
MEM 132.382812 1674458656.0456
MEM 132.445312 1674458656.1466
MEM 132.507812 1674458656.2476
MEM 132.570312 1674458656.3486
MEM 132.632812 1674458656.4496
MEM 132.636719 1674458656.5502
MEM 132.691406 1674458656.6512
MEM 132.757812 1674458656.7519
MEM 132.820312 1674458656.8529
MEM 132.882812 1674458656.9536
FUNC __main__.calc_pure_python 46.2148 1674458652.3665 49.7461 1674458660.0203 0
FUNC __main__.calculate_z_serial_purepython 122.9258 1674458652.6228 133.6953 1674458658.5510 1
MEM 132.945312 1674458657.0546
MEM 133.007812 1674458657.1553
MEM 133.070312 1674458657.2563
MEM 133.132812 1674458657.3574
MEM 133.132812 1674458657.4584
MEM 133.195312 1674458657.5594
MEM 133.257812 1674458657.6603
MEM 133.289062 1674458657.7613
MEM 133.382812 1674458657.8615
MEM 133.445312 1674458657.9620
MEM 133.507812 1674458658.0630
MEM 133.507812 1674458658.1640
MEM 133.570312 1674458658.2650
MEM 133.632812 1674458658.3660
MEM 133.695312 1674458658.4670
MEM 133.699219 1674458658.5672
MEM 133.699219 1674458658.6678
MEM 133.699219 1674458658.7689
MEM 133.699219 1674458658.8695
MEM 133.699219 1674458658.9702
MEM 133.699219 1674458659.0708
MEM 133.699219 1674458659.1720
MEM 133.699219 1674458659.2727
MEM 133.699219 1674458659.3731
MEM 133.699219 1674458659.4738
MEM 133.699219 1674458659.5741
MEM 133.699219 1674458659.6751
MEM 133.699219 1674458659.7762
MEM 133.699219 1674458659.8768
MEM 133.699219 1674458659.9773
